ClaimNum,CatastropheCode,RiskDescription, Claim Cost ,CurrencyDesc,LossDate
1581,2025 Feb flooding,Houseowners Combined,87619.26,PULA,2/19/2025
1582,2025 Feb flooding,Houseowners Combined,5200.00,PULA,2/19/2025
1583,2025 Feb flooding,SURE - MOTOR SCHEME,167026.81,PULA,2/19/2025
1584,2025 Feb flooding,Houseowners Combined,17300.00,PULA,2/19/2025
1585,2025 Feb flooding,Houseowners Combined,159814.00,PULA,2/19/2025
1586,2025 Feb flooding,Houseowners Combined,248329.06,PULA,2/19/2025
1587,2025 Feb flooding,Houseowners Combined,39660.50,PULA,2/19/2025
1589,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1590,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1591,2025 Feb flooding,Houseowners Combined,58698.45,PULA,2/19/2025
1592,2025 Feb flooding,Houseowners Combined,13816.00,PULA,2/21/2025
1593,2025 Feb flooding,Houseowners Combined,190192.33,PULA,2/19/2025
1594,2025 Feb flooding,Houseowners Combined,11393.75,PULA,2/19/2025
1595,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1596,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1598,2025 Feb flooding,Houseowners Combined,25951.00,PULA,2/19/2025
1599,2025 Feb flooding,Houseowners Combined,30822.31,PULA,2/21/2025
1600,2025 Feb flooding,Houseowners Combined,44218.00,PULA,2/19/2025
1602,2025 Feb flooding,Houseowners Combined,38652.21,PULA,2/19/2025
1603,2025 Feb flooding,Houseowners Combined,19970.60,PULA,2/19/2025
1605,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1606,2025 Feb flooding,Houseowners Combined,123922.35,PULA,2/19/2025
1608,2025 Feb flooding,Houseowners Combined,14839.00,PULA,2/19/2025
1609,2025 Feb flooding,Houseowners Combined,43257.50,PULA,2/19/2025
1610,2025 Feb flooding,Houseowners Combined,10642.20,PULA,2/19/2025
1612,2025 Feb flooding,Houseowners Combined,53857.50,PULA,2/19/2025
