ClaimNum,CatastropheCode,RiskDescription,loss_amount,CurrencyDesc,LossDate,Year,Annual_mean_max_C,Annual_total_mm,temp_std,rain_std,SSI
1381.0,2025 Feb flooding,Private Motor,21556.5,PULA,2025-02-19,2025,28.1,600.1,-0.4729673444494751,0.826037568607594,-0.14950245652853456
1382.0,2025 Feb flooding,Houseowners Combined,3179.1,PULA,2025-02-20,2025,28.2,660.4,-0.34975736396263823,1.1696852277886356,-0.2597212958756369
1383.0,2025 Feb flooding,Houseowners Combined,14358.85,PULA,2025-02-19,2025,27.8,300.9,-0.8425972859099945,-0.8790931051397982,0.518247909614902
1384.0,2025 Feb flooding,Houseowners Combined,21955.44,PULA,2025-02-19,2025,27.4,810.4,-1.335437207857355,2.024530151124561,-1.179983679490958
1385.0,2025 Feb flooding,Houseowners Combined,33777.0,PULA,2025-02-19,2025,28.2,336.8,-0.34975736396263823,-0.6745002201547333,0.6623714280960475
1386.0,2025 Feb flooding,Houseowners Combined,350000.0,PULA,2025-02-19,2025,28.2,488.3,-0.34975736396263823,0.1888931524145511,0.23067474181140535
1387.0,2025 Feb flooding,Houseowners Combined,27951.55,PULA,2025-02-19,2025,29.9,284.0,1.7448123043136323,-0.975405633168979,1.8601089687413057
1388.0,2025 Feb flooding,Houseowners Combined,10680.77,PULA,2025-02-19,2025,29.1,544.5,0.7591324604189199,0.5091750503577444,0.6249787050305877
1389.0,2025 Feb flooding,Houseowners Combined,23640.83,PULA,2025-02-21,2025,28.1,284.1,-0.4729673444494751,-0.9748357365534216,0.7509341960519732
1390.0,2025 Feb flooding,House Contents,22762.0,PULA,2025-02-19,2025,28.1,284.1,-0.4729673444494751,-0.9748357365534216,0.7509341960519732
1391.0,2025 Feb flooding,Houseowners Combined,12765.0,PULA,2025-02-19,2025,28.1,284.1,-0.4729673444494751,-0.9748357365534216,0.7509341960519732
1392.0,2025 Feb flooding,Houseowners Combined,39377.2,PULA,2025-02-21,2025,28.2,660.4,-0.34975736396263823,1.1696852277886356,-0.2597212958756369
1393.0,2025 Feb flooding,Houseowners Combined,20445.0,PULA,2025-02-20,2025,27.8,639.6,-0.8425972859099945,1.051146731752721,-0.44687200883135775
1394.0,2025 Feb flooding,Houseowners Combined,33864.18,PULA,2025-02-19,2025,28.0,509.4,-0.5961773249363164,0.3091413382971377,0.047340668383272944
1395.0,2025 Feb flooding,Houseowners Combined,28726.52,PULA,2025-02-21,2025,27.4,810.4,-1.335437207857355,2.024530151124561,-1.179983679490958
1396.0,2025 Feb flooding,Houseowners Combined,41451.85,PULA,2025-02-19,2025,28.2,660.4,-0.34975736396263823,1.1696852277886356,-0.2597212958756369
1397.0,2025 Feb flooding,Houseowners Combined,10500.0,PULA,2025-02-19,2025,28.3,488.7,-0.22654738347579698,0.1911727388767801,0.2911399388237115
1398.0,2025 Feb flooding,Houseowners Combined,4747.4,PULA,2025-02-19,2025,29.1,544.5,0.7591324604189199,0.5091750503577444,0.6249787050305877
1399.0,2025 Feb flooding,Houseowners Combined,43700.96,PULA,2025-02-19,2025,26.8,853.1,-2.0746970907783893,2.267876005967521,-1.671286548372955
1400.0,2025 Feb flooding,Houseowners Combined,1799.96,PULA,2025-02-19,2025,27.8,639.6,-0.8425972859099945,1.051146731752721,-0.44687200883135775
1401.0,2025 Feb flooding,Houseowners Combined,14042.33,PULA,2025-02-19,2025,28.2,488.3,-0.34975736396263823,0.1888931524145511,0.23067474181140535
1402.0,2025 Feb flooding,Houseowners Combined,50805.0,PULA,2025-02-20,2025,28.3,488.7,-0.22654738347579698,0.1911727388767801,0.2911399388237115
1403.0,2025 Feb flooding,Houseowners Combined,45691.0,PULA,2025-02-19,2025,29.1,357.3,0.7591324604189199,-0.5576714139654902,1.1584019371922052
1404.0,2025 Feb flooding,Houseowners Combined,10716.4,PULA,2025-02-19,2025,27.8,567.0,-0.8425972859099945,0.6374017888581331,-0.23999953738406382
1405.0,2025 Feb flooding,Houseowners Combined,350000.0,PULA,2025-02-19,2025,28.2,488.3,-0.34975736396263823,0.1888931524145511,0.23067474181140535
1406.0,2025 Feb flooding,Houseowners Combined,24806.6,PULA,2025-02-19,2025,29.8,267.9,1.6216023238267956,-1.0671589882737018,1.844380656050249
1407.0,2025 Feb flooding,Houseowners Combined,66090.7,PULA,2025-02-19,2025,28.1,475.6,-0.4729673444494751,0.11651628223877616,0.20525818665587436
1408.0,2025 Feb flooding,Motor Specified Individual,6922.61,PULA,2025-02-19,2025,28.7,262.0,0.26629253847155926,-1.1007828885915814,1.1835377135315703
1409.0,2025 Feb flooding,Houseowners Combined,20934.0,PULA,2025-02-19,2025,27.1,539.4,-1.70506714931787,0.48011032296432277,-0.5925887361410964
1410.0,2025 Feb flooding,Houseowners Combined,76180.47,PULA,2025-02-19,2025,27.8,567.0,-0.8425972859099945,0.6374017888581331,-0.23999953738406382
1411.0,2025 Feb flooding,Houseowners Combined,22534.0,PULA,2025-02-19,2025,27.9,636.8,-0.7193873054231575,1.0351896265171168,-0.37728846597013715
1412.0,2025 Feb flooding,Houseowners Combined,58652.87,PULA,2025-02-19,2025,27.9,636.8,-0.7193873054231575,1.0351896265171168,-0.37728846597013715
1414.0,2025 Feb flooding,Accident Classes,52673.1,PULA,2025-02-20,2025,28.3,488.7,-0.22654738347579698,0.1911727388767801,0.2911399388237115
1415.0,2025 Feb flooding,Houseowners Combined,17425.0,PULA,2025-02-19,2025,29.8,338.7,1.6216023238267956,-0.663672184459145,1.6426372541429703
1416.0,2025 Feb flooding,Houseowners Combined,12271.2,PULA,2025-02-20,2025,29.2,454.7,0.8823424409057568,-0.002592110412696265,0.9424672756592265
1417.0,2025 Feb flooding,Motor Specified Individual,350000.0,PULA,2025-02-21,2025,29.3,361.4,1.005552421392598,-0.5343056527276417,1.2699290370601197
